sequence_length,lstm_units,dropout_rate,batch_size,epochs,learning_rate,n_layers,mean_val_loss,std_val_loss,fold_scores,n_samples
60,100,0.1,32,100,0.0001,1,0.0017154864423597853,0.0006937011977048609,"[0.0009137793676927686, 0.002606014721095562, 0.0016266652382910252]",947
30,150,0.1,64,100,0.0001,2,0.001738067134283483,0.000705022639935735,"[0.00074286840390414, 0.0021830357145518064, 0.0022882972843945026]",977
60,50,0.2,16,100,0.001,3,0.0017411375689941149,0.0008860380579541738,"[0.000528952747117728, 0.002622095635160804, 0.0020723643247038126]",947
60,100,0.3,32,100,0.0001,1,0.001941370409137259,0.0007399362765013422,"[0.0009316809591837227, 0.0026842360384762287, 0.0022081942297518253]",947
15,50,0.2,64,100,0.0001,3,0.001951096870470792,0.0008547501838703977,"[0.0007430968689732254, 0.002593160141259432, 0.002517033601179719]",992
60,100,0.2,64,100,0.0001,2,0.002016616092684368,0.0006067034361267846,"[0.001193546806462109, 0.0026380347553640604, 0.0022182667162269354]",947
15,50,0.3,32,100,0.0001,3,0.002022940219224741,0.0008772318548158665,"[0.0008095522061921656, 0.0028533991426229477, 0.00240586930885911]",992
15,50,0.3,32,50,0.0001,3,0.0020261155635428927,0.000914150143873426,"[0.0007730413344688714, 0.0029280786402523518, 0.0023772267159074545]",992
30,50,0.2,16,50,0.0001,1,0.0020313148270361125,0.001323188770854997,"[0.0005393523606471717, 0.003755446756258607, 0.001799145364202559]",977
15,50,0.3,64,50,0.0001,1,0.0020462508934239545,0.0001664643107664376,"[0.001831157598644495, 0.002236663131043315, 0.002070931950584054]",992
30,50,0.3,64,100,0.0001,1,0.0020581887802109122,0.0010650782675926639,"[0.0005659813759848475, 0.0029819870833307505, 0.0026265978813171387]",977
60,50,0.1,16,50,0.001,3,0.0020612882993494472,0.001668795489738884,"[0.000536762410774827, 0.004383738152682781, 0.001263364334590733]",947
30,50,0.1,64,50,0.0001,2,0.002079510595649481,0.0007679145541897546,"[0.0010421194601804018, 0.002876421669498086, 0.0023199906572699547]",977
